date,venue,ai_sessions,ai_purchaseRevenue,ai_transactions,ai_keyEvents,ai_engagedSessions,all_sessions,all_purchaseRevenue,all_transactions,all_keyEvents,all_engagedSessions
2025-12-29,all,10,0,0,0,10,2546,5047.0,50,67,1921
2025-12-29,antwerp,7,0,0,0,7,1477,0,0,16,1153
2025-12-29,eupen,3,0,0,0,3,474,0,0,0,377
2025-12-30,all,10,0,0,1,8,2274,3993,41,55,1721
2025-12-30,antwerp,10,0,0,1,8,1357,0,0,14,1063
2025-12-30,eupen,0,0,0,0,0,401,0,0,0,318
2025-12-31,all,5,0,0,0,5,1333,2436.0,21,24,973
2025-12-31,antwerp,5,0,0,0,5,900,0,0,3,701
2025-12-31,eupen,0,0,0,0,0,172,0,0,0,129
2026-01-01,all,8,0,0,0,5,1831,5548.0,42,45,1421
2026-01-01,antwerp,7,0,0,0,5,1193,0,0,3,957
2026-01-01,eupen,0,0,0,0,0,238,0,0,0,190
2026-01-02,all,4,0,0,0,3,2307,4006.4,39,49,1776
2026-01-02,antwerp,3,0,0,0,2,1345,0,0,10,1079
2026-01-02,eupen,1,0,0,0,1,415,0,0,0,337
2026-01-03,all,10,0,0,0,7,2099,4332.0,37,45,1564
2026-01-03,antwerp,9,0,0,0,7,1272,0,0,6,996
2026-01-03,eupen,1,0,0,0,0,336,0,0,0,252
2026-01-04,all,9,0,0,0,9,1508,5119.8,39,48,1105
2026-01-04,antwerp,9,0,0,0,9,798,0,0,8,619
2026-01-04,eupen,0,0,0,0,0,298,0,0,0,232
2026-01-05,all,8,0,0,0,2,1075,2420.0,19,23,778
2026-01-05,antwerp,5,0,0,0,2,635,0,0,4,509
2026-01-05,eupen,0,0,0,0,0,194,0,0,0,140
2026-01-06,all,8,0,0,0,6,832,2134,15,21,583
2026-01-06,antwerp,7,0,0,0,5,430,0,0,5,321
2026-01-06,eupen,1,0,0,0,1,203,0,0,0,149
2026-01-07,all,7,0,0,0,5,806,1561.0,9,14,589
2026-01-07,antwerp,5,0,0,0,4,474,0,0,5,367
2026-01-07,eupen,1,0,0,0,1,178,0,0,0,126
2026-01-08,all,9,0,0,0,5,989,2630.0,19,23,698
2026-01-08,antwerp,6,0,0,0,4,528,0,0,3,411
2026-01-08,eupen,2,0,0,0,1,218,0,0,0,165
2026-01-09,all,5,0,0,0,2,1148,3270.0,28,35,862
2026-01-09,antwerp,5,0,0,0,2,683,0,0,7,532
2026-01-09,eupen,0,0,0,0,0,193,0,0,0,152
2026-01-10,all,4,0,0,0,4,1538,4665.0,41,50,1171
2026-01-10,antwerp,4,0,0,0,4,966,0,0,9,775
2026-01-10,eupen,0,0,0,0,0,180,0,0,0,141
2026-01-11,all,7,0,0,0,6,1472,1872.0,21,24,1084
2026-01-11,antwerp,7,0,0,0,6,884,0,0,2,678
2026-01-11,eupen,0,0,0,0,0,261,0,0,0,203
2026-01-12,all,3,0,0,0,2,1077,1635.0,15,20,793
2026-01-12,antwerp,3,0,0,0,2,616,0,0,5,491
2026-01-12,eupen,0,0,0,0,0,194,0,0,0,149
2026-01-13,all,2,0,0,0,2,994,2449,20,25,703
2026-01-13,antwerp,2,0,0,0,2,561,0,0,5,437
2026-01-13,eupen,0,0,0,0,0,181,0,0,0,129
2026-01-14,all,0,0,0,0,0,520,3945,25,25,304
2026-01-14,antwerp,0,0,0,0,0,260,0,0,0,136
2026-01-14,eupen,0,0,0,0,0,33,0,0,0,16
2026-01-15,all,0,0,0,0,0,497,888.0,11,11,284
2026-01-15,antwerp,0,0,0,0,0,284,0,0,0,140
2026-01-15,eupen,0,0,0,0,0,21,0,0,0,5
2026-01-16,all,0,0,0,0,0,593,3697.0,24,24,340
2026-01-16,antwerp,0,0,0,0,0,313,0,0,0,149
2026-01-16,eupen,0,0,0,0,0,15,0,0,0,6
2026-01-17,all,1,0,0,0,1,824,3750.0,34,34,452
2026-01-17,antwerp,1,0,0,0,1,434,0,0,0,184
2026-01-17,eupen,0,0,0,0,0,25,0,0,0,12
2026-01-18,all,0,0,0,0,0,613,2083.0,21,21,343
2026-01-18,antwerp,0,0,0,0,0,338,0,0,0,157
2026-01-18,eupen,0,0,0,0,0,20,0,0,0,7
2026-01-19,all,0,0,0,0,0,479,2050.0,22,22,272
2026-01-19,antwerp,0,0,0,0,0,252,0,0,0,127
2026-01-19,eupen,0,0,0,0,0,14,0,0,0,7
2026-01-20,all,0,0,0,0,0,471,1662.0,15,15,270
2026-01-20,antwerp,0,0,0,0,0,264,0,0,0,133
2026-01-20,eupen,0,0,0,0,0,8,0,0,0,1
2026-01-21,all,3,0,0,0,2,492,3058.0,21,21,277
2026-01-21,antwerp,3,0,0,0,2,242,0,0,0,108
2026-01-21,eupen,0,0,0,0,0,9,0,0,0,5
2026-01-22,all,0,0,0,0,0,514,2628.0,19,19,298
2026-01-22,antwerp,0,0,0,0,0,295,0,0,0,141
2026-01-22,eupen,0,0,0,0,0,8,0,0,0,5
2026-01-23,all,0,0,0,0,0,505,3660,26,26,308
2026-01-23,antwerp,0,0,0,0,0,263,0,0,0,129
2026-01-23,eupen,0,0,0,0,0,15,0,0,0,9
2026-01-24,all,0,0,0,0,0,774,3218.0,35,35,448
2026-01-24,antwerp,0,0,0,0,0,393,0,0,0,161
2026-01-24,eupen,0,0,0,0,0,9,0,0,0,5
2026-01-25,all,1,0,0,0,0,753,3123.5,28,28,428
2026-01-25,antwerp,1,0,0,0,0,393,0,0,0,177
2026-01-25,eupen,0,0,0,0,0,22,0,0,0,7
2026-01-26,all,0,0,0,0,0,562,3070,23,23,334
2026-01-26,antwerp,0,0,0,0,0,296,0,0,0,145
2026-01-26,eupen,0,0,0,0,0,16,0,0,0,9
2026-01-27,all,0,0,0,0,0,498,2624,23,23,282
2026-01-27,antwerp,0,0,0,0,0,266,0,0,0,114
2026-01-27,eupen,0,0,0,0,0,17,0,0,0,10
2026-01-28,all,1,0,0,0,0,491,1645,13,13,309
2026-01-28,antwerp,1,0,0,0,0,283,0,0,0,150
2026-01-28,eupen,0,0,0,0,0,16,0,0,0,7
2026-01-29,all,5,0,0,0,5,1058,2927,21,29,789
2026-01-29,antwerp,4,0,0,0,4,647,0,0,8,506
2026-01-29,eupen,1,0,0,0,1,162,0,0,0,128
2026-01-30,all,10,0,0,0,7,1265,3890.0,31,38,983
2026-01-30,antwerp,10,0,0,0,7,751,0,0,6,600
2026-01-30,eupen,0,0,0,0,0,182,0,0,0,153
2026-01-31,all,7,0,0,0,5,1674,4648.5,46,54,1299
2026-01-31,antwerp,7,0,0,0,5,935,0,0,8,745
2026-01-31,eupen,0,0,0,0,0,280,0,0,0,227
2026-02-01,all,11,0,0,0,10,1533,2199.3,26,37,1179
2026-02-01,antwerp,9,0,0,0,8,837,0,0,11,670
2026-02-01,eupen,2,0,0,0,2,322,0,0,0,253
2026-02-02,all,3,0,0,0,2,1209,1524.0,16,19,906
2026-02-02,antwerp,3,0,0,0,2,729,0,0,3,572
2026-02-02,eupen,0,0,0,0,0,171,0,0,0,136
2026-02-03,all,4,0,0,0,2,1026,700.0,13,19,775
2026-02-03,antwerp,4,0,0,0,2,615,0,0,5,494
2026-02-03,eupen,0,0,0,0,0,148,0,0,0,109
2026-02-04,all,5,0,0,0,5,997,3487,28,33,741
2026-02-04,antwerp,5,0,0,0,5,633,0,0,4,494
2026-02-04,eupen,0,0,0,0,0,122,0,0,1,103
2026-02-05,all,6,0,0,0,6,1017,2810.0,21,31,735
2026-02-05,antwerp,5,0,0,0,5,601,0,0,10,465
2026-02-05,eupen,1,0,0,0,1,168,0,0,0,124
2026-02-06,all,5,0,0,0,5,1241,2797.0,30,39,964
2026-02-06,antwerp,4,0,0,0,4,729,0,0,8,594
2026-02-06,eupen,1,0,0,0,1,212,0,0,0,175
2026-02-07,all,9,0,0,0,6,1521,3386.0,35,49,1141
2026-02-07,antwerp,8,0,0,0,5,881,0,0,13,672
2026-02-07,eupen,1,0,0,0,1,274,0,0,0,218
2026-02-08,all,5,0,0,0,4,1454,2070.0,26,32,1096
2026-02-08,antwerp,2,0,0,0,2,750,0,0,5,593
2026-02-08,eupen,2,0,0,0,2,329,0,0,0,255
2026-02-09,all,4,0,0,0,4,1176,3123,23,32,892
2026-02-09,antwerp,3,0,0,0,3,656,0,0,9,520
2026-02-09,eupen,1,0,0,0,1,211,0,0,0,165
2026-02-10,all,3,0,0,0,2,1031,2093.0,13,23,795
2026-02-10,antwerp,2,0,0,0,2,636,0,0,10,516
2026-02-10,eupen,0,0,0,0,0,172,0,0,0,138
2026-02-11,all,4,0,0,0,2,1168,1786.0,24,34,879
2026-02-11,antwerp,1,0,0,0,1,656,0,0,7,521
2026-02-11,eupen,2,0,0,0,1,219,0,0,0,166
2026-02-12,all,5,0,0,0,4,1155,3312.0,25,33,871
2026-02-12,antwerp,5,0,0,0,4,657,0,0,8,515
2026-02-12,eupen,0,0,0,0,0,202,0,0,0,165
2026-02-13,all,9,0,0,0,8,1379,3186.0,28,35,1063
2026-02-13,antwerp,7,0,0,0,7,824,0,0,7,673
2026-02-13,eupen,1,0,0,0,1,199,0,0,0,151
2026-02-14,all,10,0,0,0,9,1797,5831.0,47,58,1410
2026-02-14,antwerp,10,0,0,0,9,1054,0,0,11,865
2026-02-14,eupen,0,0,0,0,0,272,0,0,0,218
2026-02-15,all,6,0,0,0,6,1526,1584.0,18,27,1186
2026-02-15,antwerp,5,0,0,0,5,866,0,0,9,713
2026-02-15,eupen,1,0,0,0,1,260,0,0,0,215
2026-02-16,all,2,0,0,0,2,1176,2293.0,23,30,815
2026-02-16,antwerp,2,0,0,0,2,646,0,0,6,429
2026-02-16,eupen,0,0,0,0,0,162,0,0,0,117
2026-02-17,all,0,0,0,0,0,761,3977.0,39,39,446
2026-02-17,antwerp,0,0,0,0,0,399,0,0,0,189
2026-02-17,eupen,0,0,0,0,0,27,0,0,0,8
2026-02-18,all,2,0,0,0,1,632,3200.0,31,31,370
2026-02-18,antwerp,1,0,0,0,1,332,0,0,0,159
2026-02-18,eupen,0,0,0,0,0,28,0,0,0,10
2026-02-19,all,2,0,0,0,0,649,2816.0,33,33,369
2026-02-19,antwerp,2,0,0,0,0,383,0,0,0,170
2026-02-19,eupen,0,0,0,0,0,11,0,0,0,3
2026-02-20,all,0,0,0,0,0,616,3180.0,27,27,388
2026-02-20,antwerp,0,0,0,0,0,311,0,0,0,158
2026-02-20,eupen,0,0,0,0,0,19,0,0,0,6
2026-02-21,all,0,0,0,0,0,818,3107,41,41,468
2026-02-21,antwerp,0,0,0,0,0,427,0,0,0,196
2026-02-21,eupen,0,0,0,0,0,31,0,0,0,11
2026-02-22,all,0,0,0,0,0,795,3487,32,32,463
2026-02-22,antwerp,0,0,0,0,0,386,0,0,0,169
